T,X,Y,Z
1629821453112231213,-7224,-368,11068
1629821453145167667,-8684,-5426,-13494
1629821453178208630,-32768,5198,5726
1629821453211909407,-21052,10214,122
1629821453245422374,-14368,9478,2166
1629821453278202479,-14938,8068,9034
1629821453311454880,-18550,3916,2864
1629821453345081316,-17856,-2440,1248
1629821453378467021,-10466,-5320,-2108
1629821453411934150,-10146,-3364,1044
1629821453445605424,-9054,-6192,6006
1629821453478741772,-17310,-5674,6546
1629821453512229861,-17616,-7656,-10374
1629821453545566645,-16996,-8778,-1218
1629821453578386713,-16898,-19988,-4760
1629821453611965936,-15806,-23184,-808
1629821453645303011,-17572,-14868,-2830
1629821453678363185,-22114,-2572,4454
1629821453711804062,-32768,6552,14900
1629821453745337864,-32768,8102,-4028
1629821453778110969,-22856,6134,3066
1629821453811490298,-9396,4302,2024
1629821453845191033,-5530,1814,2950
1629821453878875725,-5236,5788,284
1629821453912073995,-5726,7948,-3798
1629821453946633019,-5796,7848,-5116
1629821453981700967,-12442,2138,-18850
1629821454015813738,-19018,-32768,12920
1629821454049165183,-32258,-10454,-7108
1629821454083261615,-11930,-7912,10148
1629821454116650481,-17672,-11534,1136
1629821454150234531,-30720,15456,6696
1629821454183346204,-18090,12456,-1112
1629821454216259607,-10016,11182,1508
1629821454249828698,-12966,11224,7284
1629821454283100052,-22766,5758,2814
1629821454316201390,-16544,-3488,3072
1629821454349877366,-14698,-4432,4518
1629821454384812961,-13318,-5012,-1034
1629821454417808372,-8770,-9312,150
1629821454451587816,-15414,-3850,2786
1629821454484785830,-17856,-4074,2900
1629821454517985302,-17608,-5064,-5610
1629821454551839045,-17284,-7604,1438
1629821454585388800,-17592,-18514,-2586
1629821454623926819,-16874,-23998,1236
1629821454658053837,-13146,-8966,-166
1629821454693216204,-26144,-3430,10258
1629821454727740926,-32768,10032,8972
1629821454762624225,-32768,7070,-17078
1629821454796865587,-12690,5246,-1344
1629821454830585650,-8858,2910,2174
1629821454864307089,-3958,3600,2878
1629821454897923684,-3054,6624,-1000
1629821454931559197,-5194,6058,-3448
1629821454965715094,-8162,5896,-8312
1629821454998556615,-11600,-3018,-9058
1629821455033296186,-18630,-31920,12972
1629821455066375224,-25570,-18856,-6992
1629821455099275245,-11612,-7576,2730
1629821455132830494,-12264,-14024,-10548
1629821455166647768,-31964,-13190,3084
1629821455200344531,-16576,9728,828
1629821455233921449,-9548,9794,3004
1629821455268222227,-13484,9924,9142
1629821455301533162,-25708,6290,3576
1629821455335296181,-18952,-4456,4062
1629821455368455851,-16382,-4376,11132
1629821455401849711,-11704,-4358,-2382
1629821455435403877,-11570,-6072,-3546
1629821455468492082,-12368,-4030,-3214
1629821455501791057,-11792,-4388,758
1629821455535412980,-13198,-5910,3710
1629821455568893472,-14104,-9086,2142
1629821455602548189,-13190,-20794,-1658
1629821455635933631,-13646,-27668,-2940
1629821455669300196,-21008,-8422,-5322
1629821455702333979,-24394,3382,468
1629821455735067193,-32768,8210,9306
1629821455768322706,-32768,9816,2634
1629821455801414370,-19938,5944,-9196
1629821455834461821,-8518,7560,1876
1629821455867167741,-8260,2656,2056
1629821455901521815,-8868,2966,-180
1629821455935234830,-11044,4366,-13712
1629821455969599114,-10248,-3890,-13268
1629821456002715322,-15568,-25754,16432
1629821456036109217,-25420,-15912,7752
1629821456068983396,-7550,-13794,-13444
